"id","registered_name","active_ingredient","pharmaceutical_form","insurance_list","issuing","atc","license_holder"
"9ckYHbDEHAivK130t5UpVSJhiAH","Rispolept® Consta® 25mg/2mL prašak i rastvarač za suspenziju za injekciju","risperidon","prašak i rastvarač za suspenziju za injekciju","B","SZR","N05AX08","PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD"
"bM7RW9BQMjhB6SJAi374hSCr6h6","Cardipine® 5mg tableta","amlodipin","tableta","A","R","C08CA01","AVE PHARMACEUTICAL D.O.O. BEOGRAD"
"1B8usmbwRxua671DTeqmVkMuI9S","Seroquel XR® 50mg tableta sa produženim oslobađanjem","kvetiapin","tableta sa produženim oslobađanjem","A1","R","N05AH04","PREDSTAVNIŠTVO ASTRAZENECA UK LIMITED BEOGRAD"
"KnbTldxLlCcU8bEhqkgCzFPd40X","Meteoreisen Globuli velati 0.1g/10g+0.1g/10g+0.1g/10g pilule","ferrum sidereum Dil. D11 aquos, phosphorous Dil. D5, quarz Dil. D11 aquos","pilule",,"BR",,"PREDSTAVNIŠTVO WALA HEILMITTEL ZRENJANIN"
"Pp8hJRLgRNsq3IbAmZetpj4m9wQ","Spedifen® 200 200mg granule za oralni rastvor","ibuprofen","granule za oralni rastvor",,"BR","M01AE01","BONIFAR D.O.O. NOVI BEOGRAD"
"9LfLVM10eeL338eJHnVoyRF1Km8","Nitrolingual® 0.4mg/doza sublingvalni sprej, rastvor","gliceriltrinitrat","sublingvalni sprej, rastvor","A1","R","C01DA02","MEDIS PHARMA D.O.O. BEOGRAD"
"wHRMVVPcc8DC0G813Cw180TZ3VO","DITEVAKSAL-T® za odrasle 30i.j./0.5mL+40i.j./0.5mL suspenzija za injekciju","vakcina protiv difterije i tetanusa, adsorbovana","suspenzija za injekciju","B","Z","J07AM51","INSTITUT ZA VIRUSOLOGIJU, VAKCINE I SERUME TORLAK"
"8ciLlHIvXNvFy7dZfDXjRKvw1qD","Moderiba 200mg film tableta","ribavirin","film tableta",,"SZR","J05AB04","PREDSTAVNIŠTVO ABBVIE BIOPHARMACEUTICALS GMBH BEOGRAD-NOVI BEOGRAD"
"ZktJQ6kxrixVw5aLBFE2bOuACxG","Dianeal PD4 3.86%m/v (38.6g/L)+5.38g/L+4.48g/L+0.184g/L+0.051g/L rastvor za peritonealnu dijalizu","glukoza, natrijum-hlorid, natrijum-laktat, kalcijum-hlorid, magnezijum-hlorid","rastvor za peritonealnu dijalizu","B","SZR",,"DIACELL D.O.O. BEOGRAD"
"7MVVzixdC7d5D27kxUUZ7e9g4c1","Cazaprol® 2.5mg film tableta","cilazapril","film tableta","A1","R","C09AA08","KRKA-FARMA D.O.O. BEOGRAD"
"JfBE5Bw3yjpv3VYLAxji2ljkiNO","Merocid® 500mg prašak za rastvor za injekciju/infuziju","meropenem","prašak za rastvor za injekciju/infuziju",,"SZ","J01DH02","PHARMASWISS D.O.O., BEOGRAD"
"hUj6YNptBoqwswqv3D1j8vIhtR8","Rawel® SR 1.5mg tableta sa produženim oslobađanjem","indapamid","tableta sa produženim oslobađanjem","A1","R","C03BA11","KRKA-FARMA D.O.O. BEOGRAD"
"u4vnCiBpiDhptehvveFKcxy5wRT","Grippostad® C 200mg+150mg+25mg+2.5mg kapsula, tvrda","paracetamol, askorbinska kiselina, kofein, hlorfenamin","kapsula, tvrda",,"BR","N02BE51","HEMOFARM AD VRŠAC"
"6K67QVD7SJw4duAq7K31AFq9v4X","Botox® 100j. prašak za rastvor za injekciju","botulinum toksin tip A","prašak za rastvor za injekciju","B","SZ","M03AX01","ALLERGAN D.O.O. BEOGRAD-SAVSKI VENAC"
"xl5LFjt6hOuewGgvHiQchK44sN6","Dioflan® 500mg film tableta","diosmin, hesperidin","film tableta",,"BR","C05CA53","PHARMACEUTICAL BALKANS DOO NOVI BEČEJ"
"QxEBLUgMLSaCe8wXBrPty28BnFP","Aspirin® 500 500mg tableta","acetilsalicilna kiselina","tableta",,"BR","N02BA01","BAYER D.O.O. BEOGRAD"
"ISmj4ETnTKbsI8k1vKGJR99cPHP","Avelosartan® 50mg film tableta","losartan","film tableta","A1","R","C09CA01","AVE PHARMACEUTICAL D.O.O. BEOGRAD"
"bapXH4bRn7hXegB0X2o1QRsGZkS","Ventolin® 100mcg/doza suspenzija za inhalaciju pod pritiskom","salbutamol","suspenzija za inhalaciju pod pritiskom","A","R","R03AC02","PREDSTAVNIŠTVO GLAXOSMITHKLINE EXPORT LIMITED, BEOGRAD (NOVI BEOGRAD)"
"d3RdiTb33iMs2Pj5fTqdnezDakH","Requip® Modutab® 4mg tableta sa produženim oslobađanjem","ropinirol","tableta sa produženim oslobađanjem","A1","R","N04BC04","PREDSTAVNIŠTVO GLAXOSMITHKLINE EXPORT LIMITED, BEOGRAD (NOVI BEOGRAD)"
"cQWu7edDTnj1IuJdSb6zKikUOzT","INTELENCE 200mg tableta","etravirin","tableta",,"SZR","J05AG04","PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD"
"OypzbpkiobFZYFZQfcSHtcxiOgH","Enap®-HL 20 20mg+12.5mg tableta","enalapril, hidrohlortiazid","tableta","A","R","C09BA02","KRKA-FARMA D.O.O. BEOGRAD"
"SKCeQQO53XVwamOxKcwZRC9llZL","Etorapid® 60mg film tableta","etorikoksib","film tableta",,"R","M01AH05","PHARMASWISS D.O.O., BEOGRAD"
"etOcZQadKvscn6JwLw8aaqH01YZ","Signifor® 0.3mg/mL rastvor za injekciju","pasireotid","rastvor za injekciju",,"SZR","H01CB05","PREDSTAVNIŠTVO NOVARTIS PHARMA SERVICES INC. BEOGRAD (NOVI BEOGRAD)"
"mOVEWRl80SenXees51oyTj0K3nV","Ecalta® 100mg prašak za koncentrat za rastvor za infuziju","anidulafungin","prašak za koncentrat za rastvor za infuziju",,"SZ","J02AX06","PREDSTAVNIŠTVO PFIZER H.C.P. CORPORATION, BEOGRAD"
"RvHaPcp3bXPfRwflogumUcD0VSA","ALOPURINOL Belupo 200mg tableta","alopurinol","tableta",,"R","M04AA01","PREDSTAVNIŠTVO BELUPO, LIJEKOVI I KOZMETIKA D.D., BEOGRAD (VOŽDOVAC)"
"kvieiueLhLUP0Qp3TIc5rPJMPtE","Entresto® 51mg+49mg film tableta","valsartan, sakubitril","film tableta",,"R",,"PREDSTAVNIŠTVO NOVARTIS PHARMA SERVICES INC. BEOGRAD (NOVI BEOGRAD)"
"ZjfMGxSGyIESEbCP9dslOLp8StW","Nuwiq® 500i.j. prašak i rastvarač za rastvor za injekciju","simoktokog alfa","prašak i rastvarač za rastvor za injekciju","B","SZR","B02BD02","PREDSTAVNIŠTVO OCTAPHARMA AG BEOGRAD-VOŽDOVAC"
"1sJtxYCxZSJG5ZEuXzM96hKvPhL","Tamiflu® 6mg/mL prašak za oralnu suspenziju","oseltamivir","prašak za oralnu suspenziju",,"R","J05AH02","ROCHE D.O.O. BEOGRAD"
"VUMHJbGDFf17ldUx6FLhHlzXJ13","Instrika® 25mg film tableta","eplerenon","film tableta",,"R","C03DA04","HEMOFARM AD VRŠAC"
"P3rnCJEbY9LgIlkf4WVHbSpzMrU","Actawell® 25mg film tableta","kvetiapin","film tableta","A1","R","N05AH04","ACTAVIS D.O.O. BEOGRAD"
"ypGqXzBfYnYPrsZvMrL9jU7gAaX","Palin® 200mg kapsula, tvrda","pipemidinska kiselina","kapsula, tvrda",,"R","J01MB04","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"0ozhVNSf0q9NZmhzXIyetD3iTEJ","AMLODIPIN ALKALOID® 10mg tableta","amlodipin","tableta","A","R","C08CA01","ALKALOID D.O.O. BEOGRAD"
"ziQo76y2w6c1iE1L3JtxyWwfoUU","Enalapril Remedica 20mg tableta","enalapril","tableta","A","R","C09AA02","FARMALOGIST D.O.O. BEOGRAD"
"Bwphf94KljGs9hMukvhVrebitt1","Coldrex® HotRem med i limun 10mg+750mg+60mg prašak za oralni rastvor","fenilefrin, paracetamol, askorbinska kiselina","prašak za oralni rastvor",,"BR","R01BA53","PREDSTAVNIŠTVO GLAXOSMITHKLINE EXPORT LIMITED, BEOGRAD (NOVI BEOGRAD)"
"yAl3ZbSYcmT9yhwOmcjqOtfh7NY","Mirapexin® 3.75mg tableta sa produženim oslobađanjem","pramipeksol","tableta sa produženim oslobađanjem","A1","R","N04BC05","BOEHRINGER INGELHEIM SERBIA D.O.O. BEOGRAD"
"1xwuNknxQghWYyOucw9JiLvu1oE","Tiramat® 100mg film tableta","topiramat","film tableta","A","R","N03AX11","PREDSTAVNIŠTVO BELUPO, LIJEKOVI I KOZMETIKA D.D., BEOGRAD (VOŽDOVAC)"
"LdnRMkOpltHB4TVjVQb4GDGYanB","Bonap® 70mg tableta","alendronska kiselina","tableta","A1","R","M05BA04","HEMOFARM AD VRŠAC"
"keYQAzve4PwFCbSV0gUP5HsBKH6","Bensedin® 2mg tableta","diazepam","tableta",,"R","N05BA01","GALENIKA AD BEOGRAD"
"gl1m76VV1m9r7ndRSPeJ1akLenB","Xgeva® 120mg/1.7mL rastvor za injekciju","denosumab","rastvor za injekciju",,"SZ","M05BX04","AMICUS SRB D.O.O."
"CAWcalCtKtGWVsGD6z983FKQICH","Alvolamid® T 500mg film tableta","levofloksacin","film tableta","A1","R","J01MA12","ALVOGEN PHARMA D.O.O."
"NbFUsUzgyWG5MbNZGZKkYQKhHSP","Sumatriptan 50mg tableta","sumatriptan","tableta","A1","R","N02CC01","SLAVIAMED DOO BEOGRAD"
"CJgCQjcWz0LQ5hdRmfF4uJAslqT","Lyrica® 25mg kapsula, tvrda","pregabalin","kapsula, tvrda","A+A1","R","N03AX16","PREDSTAVNIŠTVO PFIZER H.C.P. CORPORATION, BEOGRAD"
"jlq5lImVYSIunq4J3YIhssS8FA5","MELARTH® 10mg film tableta","montelukast","film tableta","A+A1","R","R03DC03","ACTAVIS D.O.O. BEOGRAD"
"Yqy6vALf81lIWo1NILPjh0Sf9LI","Prilinda® 5mg tableta","ramipril","tableta","A","R","C09AA05","HEMOFARM AD VRŠAC"
"VmCvdsLumjjlnbw9kcEcIeUqTk","Ranitidin Alkaloid® 150mg film tableta","ranitidin","film tableta",,"R","A02BA02","ALKALOID D.O.O. BEOGRAD"
"onHIQIXqtJSLrER9JtRuRXpHqEt","Docetaxel HF 140mg/7mL koncentrat za rastvor za infuziju","docetaksel","koncentrat za rastvor za infuziju",,"SZ","L01CD02","HEMOFARM AD VRŠAC"
"4P2fHzZVD4x1Uttm7SoQa0gJmR","Glikosan® 80mg tableta","gliklazid","tableta","A","R","A10BB09","SLAVIAMED DOO BEOGRAD"
"Iq0Zr4IJsYd5ffxh6GcVvW0jHvP","Katopil® 25mg tableta","kaptopril","tableta","A","R","C09AA01","GALENIKA AD BEOGRAD"
"38pHc3WvYDe5Aacbbm8tgICAKhS","Lizinopril Atb 10mg tableta","lizinopril","tableta","A","R","C09AA03","ATB PHARMA DOO"
"fcvm8S2fuh4PIf2xtc7yqGfUaA8","Rapidol® 600mg film tableta","ibuprofen","film tableta","B","R","M01AE01","PHARMASWISS D.O.O., BEOGRAD"
"HABjh2dpXY7TKDZQFReFGMNck8C","Alphapres® 2mg tableta","doksazosin","tableta","A1","R","C02CA04","ZDRAVLJE AD LESKOVAC"
"N9YAoDemZkF8esOy8igCxoOdrD1","Montelukast Sandoz® 4mg granule","montelukast","granule",,"R","R03DC03","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"iCQqFCLtGZhUa4Khmrxu1PDQk5P","ESBESUL® 400mg+80mg tableta","sulfametoksazol, trimetoprim","tableta","A","R","J01EE01","PREDSTAVNIŠTVO BOSNALIJEK DD, BEOGRAD"
"Zo3WHumLb32DS4f4zjx04RuztbZ","Skopryl plus® 20mg+12.5mg tableta","lizinopril, hidrohlortiazid","tableta","A","R","C09BA03","ALKALOID D.O.O. BEOGRAD"
"UuWorGA25JpFljOqx1Fw4GzcaCZ","Cornelin® 20mg film tableta","lerkanidipin","film tableta","A1","R","C08CA13","HEMOFARM AD VRŠAC"
"fTh16GT64qKZoRfyh4eiHWa157O","Atolip® 10mg film tableta","atorvastatin","film tableta","A+A1","R","C10AA05","GALENIKA AD BEOGRAD"
"hHk0v303D2LIpoq9qN9Mh6BP7ZF","GIOTRIF® 40mg film tableta","afatinib","film tableta","C","SZR","L01XE13","BOEHRINGER INGELHEIM SERBIA D.O.O. BEOGRAD"
"ghENfQnwPPCAKKSi1ERuJyCouAA","Heferol® 350mg kapsula, tvrda","gvožđe(ll)-fumarat","kapsula, tvrda","A1","R","B03AA02","ALKALOID D.O.O. BEOGRAD"
"26VvNzudncIzJ9C3wWq8SR56dKW","Imatinib PharmaSwiss 400mg film tableta","imatinib","film tableta","B","R","L01XE01","PHARMASWISS D.O.O., BEOGRAD"
"zuT1GN7vhi5NoLBn4KfRY0Dm0c9","Doxorubicin Ebewe® 10mg/5mL koncentrat za rastvor za infuziju","doksorubicin","koncentrat za rastvor za infuziju","B","SZ","L01DB01","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"GBZZnK0NtuPHEC5mGu9g50fGouR","Mertenil® 10mg film tableta","rosuvastatin","film tableta","A+A1","R","C10AA07","PREDSTAVNIŠTVO RICHTER GEDEON NYRT"
"fxsLSLTKcjtbHkXnjd2CDyxoHnY","Conbriza® 20mg film tableta","bazedoksifen","film tableta",,"R","G03XC02","PREDSTAVNIŠTVO PFIZER H.C.P. CORPORATION, BEOGRAD"
"UXTPMEZ3FrrIURlJ2k7gd6PHOU","Etoposid Ebewe® 100mg/5mL koncentrat za rastvor za infuziju","etopozid","koncentrat za rastvor za infuziju","B","SZ","L01CB01","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"YrVGc5GiS9gJqp9uVtnQZ6gVNID","Hemoqin® 10mg film tableta","kvinapril","film tableta",,"R","C09AA06","HEMOFARM AD VRŠAC"
"rXMPKnqxYOuPFeJ6i92bPuHYkt5","Enyglid® 1mg tableta","repaglinid","tableta",,"R","A10BX02","KRKA-FARMA D.O.O. BEOGRAD"
"0C1qhzLnHfhkwpO08zTlKMT5mzB","Lirona®XL 8mg tableta sa produženim oslobađanjem","ropinirol","tableta sa produženim oslobađanjem","A1","R","N04BC04","TEVA SERBIA D.O.O. BEOGRAD"
"6s7C36Yoasfmb3JWCikStOt0ydC","Topamax® 25mg film tableta","topiramat","film tableta","A","R","N03AX11","PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD"
"TPQjPARoLwnUYIjH7y6bD8ICOuV","Hemomycin® 500mg film tableta","azitromicin","film tableta","A+A1","R","J01FA10","HEMOFARM AD VRŠAC"
"Wgk2ttWu7kBCoYrZmgXuP8q4BpZ","Docetaxel PharmaSwiss 20mg/mL koncentrat za rastvor za infuziju","docetaksel","koncentrat za rastvor za infuziju",,"SZ","L01CD02","PHARMASWISS D.O.O., BEOGRAD"
"i3ObxtsvipuzYoOy8l0RdjOqOSU","Duac® 10mg/g+50mg/g gel","klindamicin, benzoil-peroksid","gel",,"R","D10AF51","PREDSTAVNIŠTVO GLAXOSMITHKLINE EXPORT LIMITED, BEOGRAD (NOVI BEOGRAD)"
"Eu6dOvvj0BoAwY1NVTZyzBRM6dU","Vessel® 600LSU/2mL rastvor za injekciju","sulodeksid","rastvor za injekciju",,"Z",,"GOODWILL PHARMA D.O.O. SUBOTICA"
"gcF8RYMeQEx45QDGHVWYxInwY8C","Yanida® 160mg film tableta","valsartan","film tableta","A1","R","C09CA03","HEMOFARM AD VRŠAC"
"oVaSNl1x73y4OQ0pqh1hhAlJ2tH","Sabax® 30mg gastrorezistentna kapsula, tvrda","lansoprazol","gastrorezistentna kapsula, tvrda","A+A1","R","A02BC03","HEMOFARM AD VRŠAC"
"7HYXezpMkutk1jyEOaOQMaGrS8P","Cardiopirin® 75mg gastrorezistentna tableta","acetilsalicilna kiselina","gastrorezistentna tableta",,"BR","B01AC06","PHARMASWISS D.O.O., BEOGRAD"
"3o2rfU5vtKTabK467hPHEp3G7q8","Kvetiapin PharmaS 100mg film tableta","kvetiapin","film tableta","A1","R","N05AH04","PHARMAS D.O.O. BEOGRAD"
"reYxfW77InGVt2Ym9szF7OzdV2X","Aflubin® 1mL/100mL+10mL/100mL+10mL/100mL+10mL/100mL+10mL/100mL oralne kapi, rastvor","gentiana lutea D1, aconitum napellus D6, bryonia D6, ferrum phosphoricum D12, acidum lacticum (acidum sarcolacticum) D12","oralne kapi, rastvor",,"BR",,"FARMALOGIST D.O.O. BEOGRAD"
"GiHkikKggYEUvEqEJo7P5I09F21","Tensec® 10mg film tableta","bisoprolol","film tableta","A","R","C07AB07","HEMOFARM AD VRŠAC"
"mHQ0yUqWBwVxPFPV584OFdDDSZA","Paracetamol Actavis 10mg/mL rastvor za infuziju","paracetamol","rastvor za infuziju","B","SZ","N02BE01","ACTAVIS D.O.O. BEOGRAD"
"7tGpHmNWyFJhORPCQi5JmgLX9f1","Arilin® Rapid 1000mg vagitorija","metronidazol","vagitorija",,"R","G01AF01","MSF PHARM DOO BEOGRAD"
"cJQJXSlDvS3lATdXMM8Tks3isO3","Lazol 30mg gastrorezistentna kapsula, tvrda","lansoprazol","gastrorezistentna kapsula, tvrda",,"R","A02BC03","DE-TA-P D.O.O."
"WFDxZbX6n6pMQ761ipswfqQNPHJ","Stalevo® 100mg+25mg+200mg film tableta","levodopa, karbidopa, entakapon","film tableta","A1","R","N04BA03","PREDSTAVNIŠTVO NOVARTIS PHARMA SERVICES INC. BEOGRAD (NOVI BEOGRAD)"
"ZMLJ8TjknmYhtmK1AjgTFaxROuU","Pradaxa® 75mg kapsula, tvrda","dabigatraneteksilat","kapsula, tvrda","B","R","B01AE07","BOEHRINGER INGELHEIM SERBIA D.O.O. BEOGRAD"
"ymnlWciwVa8KtVTkZnXnKU46hZG","Phenobarbiton-natrijum HF 220mg/2mL prašak i rastvarač za rastvor za injekciju","fenobarbital","prašak i rastvarač za rastvor za injekciju","B","ZN","N03AA02","HEMOFARM AD VRŠAC"
"RiePuvrGqwcD9GKCDStrIcBDx4I","Limeral® 1mg tableta","glimepirid","tableta","A","R","A10BB12","ZDRAVLJE AD LESKOVAC"
"wI0NW5UxoSlXeZK2C9YNmW4eKQB","QUETRA 500 500mg film tableta","levetiracetam","film tableta","A","R","N03AX14","FARMALOGIST D.O.O. BEOGRAD"
"z4oZZbzb21DDLBfiZEZAi4ojeLF","Izopamil® 80mg film tableta","verapamil","film tableta","A","R","C08DA01","GALENIKA AD BEOGRAD"
"RCMhCLTVuNQ51DLwVrLJCcvFgoG","Triapin® Mite 2.5mg+2.5mg tableta sa produženim oslobađanjem","ramipril, felodipin","tableta sa produženim oslobađanjem","A1","R","C09BB05","SANOFI-AVENTIS D.O.O. BEOGRAD"
"UYNL0nKjVGCC4Uobz1ADqMoE637","MabThera® 500mg/50mL koncentrat za rastvor za infuziju","rituksimab","koncentrat za rastvor za infuziju","C","SZ","L01XC02","ROCHE D.O.O. BEOGRAD"
"Xc27C5egJdyHizdLiAQ3fqzKFC5","Tevagrastim 48Mi.j./0.8mL rastvor za injekciju/infuziju u napunjenom injekcionom špricu","filgrastim","rastvor za injekciju/infuziju u napunjenom injekcionom špricu","B","SZ","L03AA02","ACTAVIS D.O.O. BEOGRAD"
"t84r9UuJjtXM32OkUg1dKoqlfh4","COMBIGAN® 5mg/mL+2mg/mL kapi za oči, rastvor","timolol, brimonidin","kapi za oči, rastvor",,"R","S01ED51","ALLERGAN D.O.O. BEOGRAD-SAVSKI VENAC"
"Tv34lb9bvlLrvNn8v1z8RfeqUPQ","Dormikind® 15mg+20mg+15mg tableta","cypripedium pubescens trit. D4, magnesium carbonicum trit. D10, zincum valerianicum trit. D12","tableta",,"BR",,"ALPEN PHARMA DOO BEOGRAD (PALILULA)"
"kS1cnt1yVfAnfTx4tjU8baS8pYC","Lopraza® 20mg gastrorezistentna tableta","pantoprazol","gastrorezistentna tableta",,"BR","A02BC02","PHARMASWISS D.O.O., BEOGRAD"
"zBcmwCO7RMBeaQdczKNIntWPYi2","Rissar® 3mg film tableta","risperidon","film tableta","A","R","N05AX08","ALKALOID D.O.O. BEOGRAD"
"qRL9BFSvi3yUz4vh3j65PvdE43T","LORISTA 50mg film tableta","losartan","film tableta","A1","R","C09CA01","KRKA-FARMA D.O.O. BEOGRAD"
"xWklOHDlOFMlNDVR4tEGDV7eIvK","MIDIANA® 3mg+0.03mg film tableta","drospirenon, etinilestradiol","film tableta",,"R","G03AA12","PREDSTAVNIŠTVO RICHTER GEDEON NYRT"
"bUGFTgVKIHIS9QBV1JgjI0m4PN7","Ibutop® Cream 50mg/g krem","ibuprofen","krem",,"BR","M02AA13","DR THEISS DOO BEOGRAD (ZEMUN)"
"EXMaThu8QnAnMA4DhpBY074BMPN","Zodol® 10mg film tableta","ketorolak","film tableta","B","R","M01AB15","HEMOFARM AD VRŠAC"
"PbnGBZ7hOJT9zMKhZ91tmYgshZ2","Dezoksimetazon UNION M 0.25% mast","dezoksimetazon","mast","A1","R","D07AC03","UNION-MEDIC D.O.O. NOVI SAD"
"Mkx9SI9sGQpjAn7XX7IccQRsXaW","Zorkaptil® 25mg tableta","kaptopril","tableta","A","R","C09AA01","HEMOFARM AD VRŠAC"
"OyfsFohPyBLoALPtP5YuB7Y6Y9R","Voramol® 50mg film tableta","vorikonazol","film tableta","B","SZR","J02AC03","ALVOGEN PHARMA D.O.O."
"y6XQIS3Hgd7rHzKbBxJ647u8pzD","Requip® Modutab® 8mg tableta sa produženim oslobađanjem","ropinirol","tableta sa produženim oslobađanjem","A1","R","N04BC04","PREDSTAVNIŠTVO GLAXOSMITHKLINE EXPORT LIMITED, BEOGRAD (NOVI BEOGRAD)"
"86MthUT5loQSsFr9IeTdw5BkpOT","Nimvastid® Q-Tab® 1.5mg oralna disperzibilna tableta","rivastigmin","oralna disperzibilna tableta","A1","R","N06DA03","KRKA-FARMA D.O.O. BEOGRAD"
"jHhpX41MqOhisD8bKbA9OavqEgH","Zolprix® 5mg tableta","aripiprazol","tableta","A","R","N05AX12","ALVOGEN PHARMA D.O.O."
"8Ej3jNa1gUnfomcMd4uo7gXEYrO","Paracetamol 120mg/5mL sirup","paracetamol","sirup","A","BR","N02BE01","GALENIKA AD BEOGRAD"
"CTi7AXkHQG2yvinNMdTPIltFQaA","Albothyl® 90mg vagitorija","polikrezulen","vagitorija",,"R","G01AX03","TAKEDA GMBH PREDSTAVNIŠTVO, BEOGRAD (NOVI BEOGRAD)"
"ZuyiPS19Y7BQkCWO8Cr5ee6XcoJ","Synopen® 20mg/2mL rastvor za injekciju","hloropiramin","rastvor za injekciju","B","Z","R06AC03","ACTAVIS D.O.O. BEOGRAD"
"vIi2eyNqq01vi7SI1HOdTvVA2X7","Haloperidol 2mg tableta","haloperidol","tableta","A","R","N05AD01","ZDRAVLJE AD LESKOVAC"
"MEOHdVKuRgRxge9D0wVCDy00kML","Somatuline® Autogel® 90mg rastvor za injekciju u napunjenom injekcionom špricu","lanreotid","rastvor za injekciju u napunjenom injekcionom špricu","B","SZR","H01CB03","PHARMASWISS D.O.O., BEOGRAD"
"mEUeGGhZG44EEz7Ij8bDUH3laf8","Nimvastid® 6mg kapsula, tvrda","rivastigmin","kapsula, tvrda","A1","R","N06DA03","KRKA-FARMA D.O.O. BEOGRAD"
"P697YBxq6AAvzxz7OYmsNl0k7LB","Nystatin HF 100000i.j. vaginalna tableta","nistatin","vaginalna tableta",,"BR","G01AA01","HEMOFARM AD VRŠAC"
"PDdeE0rAnUlyVA56ZNWCnBeKLKL","AZARGA® 5mg/mL+10mg/mL kapi za oči, suspenzija","timolol, brinzolamid","kapi za oči, suspenzija","A1","R","S01ED51","PREDSTAVNIŠTVO ALCON PHARMACEUTICALS LTD BEOGRAD"
"aKTQ2vvDb8t8NjLQghIekeG2X0G","Pressing® 5mg/5mL sirup","loratadin","sirup",,"BR","R06AX13","HEMOFARM AD VRŠAC"
"lrAKLAyiy139l78euU0t0jwaqbG","Tadorsyo® 5mg film tableta","tadalafil","film tableta",,"R","G04BE08","KRKA-FARMA D.O.O. BEOGRAD"
"4Op0VLXsj7dBcwEgxA4hkXWgicN","Myoval® 160mg film tableta","valsartan","film tableta","A1","R","C09CA03","ADOC D.O.O. BEOGRAD"
"9FEncu1pu9wfBscdiEkJXLKw01N","Montelukast Cipla 5mg tableta za žvakanje","montelukast","tableta za žvakanje",,"R","R03DC03","EVROPA LEK PHARMA D.O.O. BEOGRAD"
"OAy68pkrk6pDhl5v8tFjuqwKdf2","Aldurazyme® 100j./mL koncentrat za rastvor za infuziju","laronidaza","koncentrat za rastvor za infuziju",,"Z","A16AB05","SANOFI-AVENTIS D.O.O. BEOGRAD"
